#Types Before Cut: 11104
#Types After Cut: 9699
#Search Hits: 0
242	13	34.215	спать
243	13	34.215	твои
244	13	34.215	учились
245	28	34.163	обычно
246	20	33.509	другому
247	17	33.205	пошла
248	15	32.622	будешь
249	15	32.622	понял
250	15	32.622	поняла
251	28	32.319	таки
252	23	32.309	дома
253	24	32.173	принципе
254	113	31.715	даже
255	12	31.583	берег
256	12	31.583	весело
257	12	31.583	детстве
258	12	31.583	квартиру
259	12	31.583	круто
260	12	31.583	любят
261	12	31.583	поговорить
262	12	31.583	пятьдесят
263	12	31.583	смешно
264	49	31.477	всегда
265	16	30.802	школа
266	34	30.787	голос
267	20	30.741	дочка
268	21	30.413	хоть
269	21	30.413	язык
270	17	29.708	давайте
271	18	29.010	дом
272	36	28.976	две
273	11	28.951	inan
274	11	28.951	давали
275	11	28.951	девочки
276	11	28.951	девяносто
277	11	28.951	здорово
278	11	28.951	знала
279	11	28.951	кадра
280	11	28.951	классно
281	11	28.951	кхм
282	11	28.951	понимаешь
283	11	28.951	расскажу
284	11	28.951	рассказчик
285	11	28.951	смеётся
286	11	28.951	смотри
287	11	28.951	соседка
288	11	28.951	училась
289	11	28.951	холодно
290	19	28.565	младший
291	26	28.526	самое
292	15	28.413	играть
293	21	28.151	жить
294	156	27.969	или
295	13	27.634	концерт
296	13	27.634	семья
297	13	27.634	ходить
298	13	27.634	честно
299	16	27.410	видео
300	16	27.410	языке
301	26	26.901	смысле
302	17	26.790	моей
303	18	26.412	понимаю
304	10	26.319	бывают
305	10	26.319	вкус
306	10	26.319	восемьдесят
307	10	26.319	дед
308	10	26.319	дедушка
309	10	26.319	ехать
310	10	26.319	забыл
311	10	26.319	иии
312	10	26.319	картинка
313	10	26.319	кашель
314	10	26.319	нуу
315	10	26.319	озеро
316	10	26.319	пол
317	10	26.319	прикольно
318	10	26.319	ребята
319	10	26.319	своё
320	10	26.319	слушай
321	10	26.319	смешок
322	10	26.319	собака
323	10	26.319	ушёл
324	19	26.200	н
325	19	26.200	слово
326	22	26.172	какую
327	22	26.172	часов
328	14	26.039	домой
329	14	26.039	собственно
330	27	25.682	моя
331	12	25.157	вдруг
332	12	25.157	делаю
333	12	25.157	купил
334	15	25.132	ж
335	39	24.894	людей
336	16	24.593	читать
337	50	24.193	день
338	146	24.176	был
339	20	24.131	друг
340	20	24.131	места
341	18	24.130	тему
342	29	23.748	старший
343	9	23.687	n
344	9	23.687	ар
345	9	23.687	видишь
346	9	23.687	грустный
347	9	23.687	двенадцать
348	9	23.687	двести
349	9	23.687	кошки
350	9	23.687	папа
351	9	23.687	переехали
352	9	23.687	подожди
353	9	23.687	смесь
354	9	23.687	танцами
355	9	23.687	твой
356	9	23.687	учителя
357	9	23.687	чай
358	9	23.687	эмм
359	13	23.684	какими
360	13	23.684	маленький
361	13	23.684	машина
362	13	23.684	смотреть
363	35	23.047	четыре
364	27	22.975	слова
365	14	22.876	d
366	14	22.876	вещи
367	14	22.876	мои
368	14	22.876	хотелось
369	11	22.691	квартире
370	36	22.536	одна
371	21	22.530	долго
372	16	22.181	девять
373	28	22.138	совсем
374	18	22.099	русский
375	17	22.087	кем
376	30	21.846	чего
377	27	21.732	каждый
378	29	21.412	сама
379	12	21.349	нравятся
380	8	21.055	acc
381	8	21.055	komm
382	8	21.055	nom
383	8	21.055	ааa
384	8	21.055	английский
385	8	21.055	брови
386	8	21.055	вертолет
387	8	21.055	говорящийа
388	8	21.055	говорящийб
389	8	21.055	грустно
390	8	21.055	делаешь
391	8	21.055	егэ
392	8	21.055	замечательно
393	8	21.055	звук
394	8	21.055	иду
395	8	21.055	интересного
396	8	21.055	колесико
397	8	21.055	любишь
398	8	21.055	лёва
399	8	21.055	мамой
400	8	21.055	мемы
401	8	21.055	моих
402	8	21.055	надя
403	8	21.055	неудобно
404	8	21.055	никит
405	8	21.055	одиннадцать
406	8	21.055	поехал
407	8	21.055	прихожу
408	8	21.055	смотрел
409	8	21.055	смотрела
410	8	21.055	студентов
411	8	21.055	типо
412	8	21.055	умер
413	8	21.055	учился
414	8	21.055	хе
415	8	21.055	эт
416	13	20.646	бывает
417	13	20.646	говорила
418	13	20.646	специально
419	19	20.462	павел
420	14	20.275	надеюсь
421	10	20.242	интересные
422	10	20.242	рассказывала
423	40	20.129	говорить
424	27	19.443	ей
425	11	19.038	будто
426	11	19.038	знаете
427	11	19.038	отец
428	11	19.038	пошел
429	12	18.444	делали
430	12	18.444	купить
431	12	18.444	семье
432	7	18.423	бабушкой
433	7	18.423	боже
434	7	18.423	буквы
435	7	18.423	двери
436	7	18.423	детство
437	7	18.423	детьми
438	7	18.423	друзьями
439	7	18.423	ездить
440	7	18.423	ехали
441	7	18.423	живёт
442	7	18.423	забыла
443	7	18.423	задание
444	7	18.423	карл
445	7	18.423	квартиры
446	7	18.423	красивый
447	7	18.423	ненавижу
448	7	18.423	нету
449	7	18.423	ноль
450	7	18.423	одни
451	7	18.423	парень
452	7	18.423	понравилась
453	7	18.423	пошёл
