№;school;grade;sex;variant;short;entire;speaking;initial;final;min
1560;136;11;Ж;345;+++++++++++-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1561;136;11;Ж;339;+++++++++++-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1562;136;11;Ж;347;+++++--+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1563;136;12Г;М;408;++++++--+-++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1564;136;11;М;344;+++++++-++--;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1565;136;11;Ж;345;++++-+-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1566;136;11;Ж;343;+++++-++++--;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1567;136;11;М;347;+++++---++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1568;136;11;М;346;++++++-+++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1569;136;11;Ж;348;++++++--++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1570;137;11;М;342;++++++-+++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1571;137;11;М;341;+++++++++++-;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1572;137;11А;Ж;337;++++++--++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1573;137;11А;М;338;-+++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1574;137;11Б;Ж;345;++++++-+++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1575;137;11Б;Ж;344;++++++--++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1576;137;11Б;Ж;337;++++++-+++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1577;137;11А;Ж;347;++++++--+++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1578;137;11Б;Ж;346;+-++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1579;137;11А;Ж;340;++++++--++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1580;137;11;М;344;+++++++-++-+;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;11;56;27
1581;121;11;М;340;+++++++-++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1582;121;11;Ж;339;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1583;121;11;М;338;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1584;122;11;Ж;347;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1585;122;11;Ж;347;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1586;122;11;М;346;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1587;123;11;Ж;346;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1588;123;11;Ж;348;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1589;123;11;М;345;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1590;123;11;М;346;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1591;123;11;М;344;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1592;123;11;М;341;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1593;123;11;М;340;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1594;123;11;Ж;348;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1595;123;11;М;348;++++++--++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1596;125;11А;Ж;338;++++++++++--;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1597;125;11А;Ж;346;-++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1598;125;11Б;Ж;338;+++++++-+++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1599;125;11А;М;339;+++++++-+++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1600;125;11;Ж;348;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1601;125;11;Ж;344;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1602;125;11;М;347;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1603;126;11;М;346;++++++++++-+;0(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1604;126;11;Ж;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1605;126;11;Ж;337;++++++-+++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1606;126;11;М;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1607;127;11;Ж;348;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1608;127;11;М;346;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1609;127;11;Ж;347;++++-++-++--;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1610;127;11;Ж;340;+++++++-+++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1611;127;11;Ж;339;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1612;127;11;М;343;+++++++-+++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1613;127;11;М;343;++++++++--++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1614;127;11;Ж;340;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1615;127;11;М;346;++++++-++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1616;127;11;М;346;++++++-++--+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1617;127;11;Ж;347;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1618;127;11;Ж;348;++++-++++-++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1619;127;11;Ж;347;+++++++-++--;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1620;128;11;Ж;348;++++++--+-++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1621;128;11;Ж;346;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1622;128;11;Ж;347;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1623;128;11;Ж;345;++++++-+++++;0(2)0(2)0(2)0(3)0(3)0(4)1(4);;12;62;27
1624;128;11;Ж;340;++++++-++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1625;128;11;Ж;337;++++++--++++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1626;128;11;Ж;339;+++++++-++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1627;129;11;Ж;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1628;130;11;М;346;++++++++++--;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1629;131;11;М;342;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1630;131;11;Ж;339;++++++--++-+;2(2)0(2)0(2)0(3)1(3)0(4)0(4);;12;62;27
1631;131;11;Ж;344;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1632;131;11;Ж;341;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1633;131;11;М;341;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1634;131;11;М;337;+-+--+-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1635;132;11;М;343;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1636;132;11;М;339;-+++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1637;133;11;Ж;337;++++++-+++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1638;133;11;М;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1639;133;11;М;347;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1640;133;11;М;341;+++++-++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1641;133;11;М;342;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1642;133;11;Ж;348;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1643;133;11;М;345;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1644;133;11;М;339;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1645;133;11;М;340;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1646;133;11;М;343;+++++-+-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1647;133;11;М;337;++++++++++--;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1648;133;11;М;344;++++++-+++-+;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1649;133;11;М;343;++++++-++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1650;133;11;М;348;+++++-++++-+;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1651;134;11;М;345;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1652;134;11;Ж;343;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1653;134;11;Ж;345;+++++--++++-;0(2)2(2)0(2)1(3)0(3)0(4)0(4);;12;62;27
1654;135;11;Ж;346;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1655;135;11;Ж;345;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1656;135;11;Ж;342;++++++-+++--;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1657;135;11;М;348;-+++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1658;135;11;М;341;++++++++++-+;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1659;135;11;Ж;343;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1660;135;11;М;338;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1661;135;11;М;343;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1662;135;11;М;343;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1663;135;11;Ж;347;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1664;135;11;М;345;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1665;135;11;М;343;-+++-++-++++;2(2)0(2)0(2)0(3)0(3)0(4)1(4);;12;62;27
1666;135;11;Ж;346;++++++-++++-;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1667;135;11;М;339;++++++-++-+-;2(2)0(2)0(2)0(3)1(3)0(4)0(4);;12;62;27
1668;135;11;М;340;-+++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1669;135;11;М;347;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1670;135;11;М;343;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1671;135;11;М;345;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1672;135;11;М;344;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1673;136;11;Ж;341;+++++++++++-;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1674;136;11;Ж;341;++++++--++-+;2(2)0(2)0(2)0(3)0(3)0(4)1(4);;12;62;27
1675;136;11;М;348;+++++--+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1676;136;11;М;348;++++++--++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1677;136;11;М;340;+++++---++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1678;136;11;М;347;+++++++++--+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1679;136;11;М;338;+++++++++++-;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1680;136;11;М;347;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1681;136;11;Ж;337;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1682;136;11;Ж;338;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1683;136;11;Ж;348;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1684;136;11;Ж;343;+++++++-++--;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1685;136;11;Ж;342;-+++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1686;136;11;Ж;340;++++++-++-+-;2(2)0(2)0(2)1(3)0(3)0(4)0(4);;12;62;27
1687;136;11;Ж;348;+++++++++-++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1688;136;11;М;338;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1689;136;11;Ж;340;++-+++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1690;136;11;М;345;+++++++++++-;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1691;136;11М;М;343;+++++++-+++-;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1692;136;11А;Ж;342;++++++--+-++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1693;136;11М;М;348;++++++-++++-;0(2)0(2)0(2)0(3)0(3)0(4)2(4);;12;62;27
1694;136;13;М;501;+++-++++++-+;1(2)0(2)0(2)0(3)0(3)0(4)1(4);;12;62;27
1695;136;11;Ж;345;+++++++-++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1696;136;11;М;339;-++++++++-+-;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1697;136;11;М;348;+++++++++++-;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1698;136;11;Ж;343;-++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1699;136;11;Ж;344;++++++-+++++;0(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1700;136;11;Ж;345;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1701;136;13;М;501;+++-+++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1702;136;13;М;504;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1703;136;11;М;343;++-++++++++-;0(2)0(2)0(2)0(3)0(3)0(4)2(4);;12;62;27
1704;136;11;Ж;347;++++++-++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1705;136;11;М;341;+++++++++++-;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1706;136;11;М;341;+++++++-+++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1707;136;11;Ж;340;++++++-+++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1708;136;11;М;346;++++++-+++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1709;136;11А;М;340;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1710;136;11А;М;345;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1711;136;11А;М;341;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1712;136;11Б;М;348;+++++++-+-++;0(2)1(2)0(2)0(3)0(3)0(4)1(4);;12;62;27
1713;136;11А;Ж;344;+++-+-++++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1714;136;11Б;Ж;348;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1715;136;11Б;М;347;++++++-++-++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1716;136;11;М;339;+++++++++++-;0(2)0(2)0(2)0(3)1(3)0(4)0(4);;12;62;27
1717;136;11;Ж;342;+++++++++++-;0(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1718;136;11;М;344;+++++++++++-;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1719;136;11;М;346;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1720;136;13;Ж;104;++++++++-+++;0(2)0(2)0(2)1(3)0(3)0(4)0(4);;12;62;27
1721;136;11А;Ж;340;++++++--++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1722;136;11Б;Ж;344;++++++-++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1723;136;11Б;Ж;340;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1724;136;11Б;Ж;347;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1725;136;11А;Ж;344;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1726;136;11Б;Ж;340;+++-+++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1727;136;11В;Ж;341;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1728;136;11В;Ж;347;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1729;136;11Б;М;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1730;136;11Б;Ж;347;+++++++-++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1731;136;11А;Ж;345;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1732;136;11;Ж;337;++++++-+++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1733;136;11;Ж;338;++++++-++++-;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1734;136;11;М;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1735;136;11;Ж;347;++++++-+++--;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1736;136;12Е;М;401;++++++-++-++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1737;136;11;Ж;341;+++++++-++-+;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1738;136;11;Ж;337;++++++++++--;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1739;136;11;М;339;++++++++++-+;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1740;136;11;Ж;346;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1741;136;11;М;343;++++++--++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1742;136;11;М;348;++++-++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1743;136;11;Ж;340;+-++++--++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;12;62;27
1744;136;11;Ж;337;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1745;137;11;М;345;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1746;137;11А;М;341;+++++--+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1747;137;11А;М;345;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1748;137;11Б;Ж;339;++++++-++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1749;137;11А;Ж;340;++++++-++++-;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;12;62;27
1750;137;11А;М;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1751;137;11Б;Ж;348;++++++-+++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1752;137;11А;Ж;344;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1753;137;11А;Ж;339;++++++++++-+;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;12;62;27
1754;121;11;Ж;347;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1755;121;11;Ж;340;++++++-+++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1756;121;11;Ж;339;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1757;121;11;Ж;344;++++++-++++-;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1758;121;11;Ж;347;+++++++-++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1759;121;11;М;338;++++-+++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1760;121;11;М;339;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1761;121;11;М;342;++++++--++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1762;121;11;Ж;337;++++++++++++;0(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1763;122;11;М;345;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1764;123;11;Ж;344;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1765;123;11;Ж;337;+++++++-++-+;0(2)1(2)1(2)1(3)0(3)0(4)0(4);;13;68;27
1766;123;11;Ж;339;+++++++-+++-;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1767;123;11;Ж;346;++++++++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1768;123;11;М;347;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1769;123;11;Ж;347;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1770;123;11;М;345;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1771;123;11;Ж;346;-+++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1772;124;11;Ж;338;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1773;124;11;М;340;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1774;125;11Б;Ж;339;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1775;125;11А;М;337;++++++++++-+;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1776;125;11Б;М;343;+++++++++++-;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1777;125;11А;М;340;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1778;125;11;Ж;345;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1779;125;11;Ж;343;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1780;125;11;Ж;347;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1781;126;11;М;347;-++++-+++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1782;126;11;М;343;-++++++-++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1783;126;11;М;338;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1784;127;11;М;348;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1785;127;11;Ж;338;++++++--++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1786;127;11;Ж;347;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1787;127;11;Ж;337;-++++++++--+;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1788;127;11;М;337;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1789;127;11;Ж;347;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1790;127;11;М;341;+++++++-++++;0(2)0(2)0(2)0(3)2(3)0(4)0(4);;13;68;27
1791;127;11;Ж;340;++++++++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1792;127;11;М;340;+++++++-++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1793;127;11;Ж;340;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1794;127;11;Ж;345;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1795;127;11;М;340;+++++-++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1796;127;11;М;338;+++++++-+++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1797;127;11;М;341;-+++++++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1798;127;11;Ж;343;++++++-+++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1799;127;11;М;345;++++++-++++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1800;128;11;М;338;++++++++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1801;128;11;М;344;++++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1802;128;11;Ж;343;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1803;128;11;М;346;++++++-+++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1804;129;11;Ж;341;++++++--+-++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1805;130;11;Ж;338;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1806;131;11;Ж;348;++++++-+++-+;2(2)0(2)0(2)1(3)0(3)0(4)0(4);;13;68;27
1807;131;11;М;343;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1808;131;11;Ж;339;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1809;132;11;Ж;342;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1810;132;11;Ж;348;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1811;132;11;Ж;342;++++++-+++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1812;133;11;Ж;345;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
