05-Информатика и ИКТ;;;;;;;;;;
;;;;;;;;;;
№;school;grade;sex;variant;short;long;speaking;initial;final;min
69;144;11А;Ж;331;+-++-+++-+--+++++-+--+-;0(3)0(2)3(3)0(4);;17;61;40
70;148;11;Ж;333;-+-+++++-+--++-++-+----;3(3)2(2)1(3)0(4);;18;62;40
71;147;11;М;330;++++--++++-++++++-+----;3(3)1(2)0(3)0(4);;19;64;40
72;148;11;Ж;333;-++-+++++++-+++-+-+--+-;2(3)2(2)0(3)0(4);;19;64;40
73;148;11;Ж;331;++++++++-+-++++-+++--+-;2(3)0(2)0(3)0(4);;19;64;40
74;144;11А;М;329;+++++-++++-++++++----+-;2(3)0(2)1(3)0(4);;19;64;40
75;111;11;М;328;+-++-+++----++-++-+-+++;2(3)2(2)1(3)1(4);;20;66;40
76;148;11А;М;328;++++++++++-++++++-+----;2(3)0(2)1(3)0(4);;20;66;40
77;148;11А;Ж;328;-+++-++++-+-+++++----+-;2(3)2(2)2(3)0(4);;20;66;40
78;148;11В;М;328;++++++++++---+++++-----;3(3)0(2)2(3)0(4);;20;66;40
79;148;11;М;331;++++++-+-+--++-++-+----;3(3)2(2)1(3)1(4);;20;66;40
80;144;11А;М;329;+++-++++-+++--++--+-+--;3(3)0(2)1(3)2(4);;20;66;40
81;140;11;М;331;+++++-++--+++++++-+--++;3(3)0(2)1(3)0(4);;21;68;40
82;148;11А;М;332;++++-+++++--++++--+-++-;3(3)0(2)2(3)0(4);;21;68;40
83;148;11Б;М;333;+++++++++----+-++-+++--;3(3)1(2)0(3)2(4);;21;68;40
84;148;11;Ж;328;++++-++++++-+++++-+--+-;0(3)2(2)2(3)0(4);;21;68;40
85;148;11;М;329;+++++++++++++++++--++--;0(3)2(2)0(3)0(4);;21;68;40
86;144;11А;М;332;++++++++-+-++++++-+-+--;2(3)0(2)2(3)0(4);;21;68;40
87;146;13;М;105;+-+-+-+--++++-++--+-++-;3(3)2(2)0(3)4(4);;22;70;40
88;148;11;М;328;+-+++-+++++++++++++----;3(3)0(2)2(3)0(4);;22;70;40
89;148;11Б;М;332;+---++++++-++++-++--++-;2(3)2(2)2(3)1(4);;22;70;40
90;148;11;М;333;+++++++--++++++++-+-+--;3(3)0(2)2(3)0(4);;22;70;40
91;148;11;Ж;331;+--++++++-+++++++-+++--;2(3)2(2)0(3)1(4);;22;70;40
92;148;11;М;330;++++++++---+++++++--+--;3(3)2(2)1(3)0(4);;22;70;40
93;148;11;М;505;+++-+-++++++-+--+-+-++-;3(3)2(2)3(3)0(4);;23;72;40
94;140;11;М;333;+++++++-++++++-+-++--++;3(3)2(2)0(3)0(4);;23;72;40
95;140;11;Ж;332;++++++++++-++++++-+-+-+;2(3)1(2)1(3)0(4);;23;72;40
96;148;11;М;333;-++++-+++--++++++-+----;2(3)2(2)3(3)2(4);;23;72;40
