<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200924;220000;19385.0000000;19385.0000000;19200.0000000;19200.0000000;28
FB-RM;60;20200924;230000;19188.0000000;19188.0000000;19181.0000000;19181.0000000;5
FB-RM;60;20200925;110000;19181.0000000;19331.0000000;19181.0000000;19242.0000000;10
FB-RM;60;20200925;120000;19183.0000000;19255.0000000;19140.0000000;19172.0000000;12
FB-RM;60;20200925;130000;19246.0000000;19246.0000000;19246.0000000;19246.0000000;57
FB-RM;60;20200925;140000;19298.0000000;19298.0000000;19298.0000000;19298.0000000;12
FB-RM;60;20200925;150000;19297.0000000;19300.0000000;19297.0000000;19300.0000000;11
FB-RM;60;20200925;160000;19400.0000000;19475.0000000;19400.0000000;19475.0000000;27
FB-RM;60;20200925;170000;19475.0000000;19500.0000000;19300.0000000;19428.0000000;116
FB-RM;60;20200925;180000;19410.0000000;19600.0000000;19410.0000000;19532.0000000;45
FB-RM;60;20200925;190000;19600.0000000;19700.0000000;19600.0000000;19611.0000000;308
FB-RM;60;20200925;200000;19611.0000000;19732.0000000;19611.0000000;19674.0000000;22
FB-RM;60;20200925;210000;19700.0000000;19810.0000000;19694.0000000;19790.0000000;50
FB-RM;60;20200925;220000;19804.0000000;19884.0000000;19804.0000000;19884.0000000;31
FB-RM;60;20200925;230000;19900.0000000;19986.0000000;19900.0000000;19950.0000000;272
FB-RM;60;20200926;0;19941.0000000;19941.0000000;19611.0000000;19800.0000000;17
